
## 240:540 | Главная + о проекте | 320x1682
242:726	"Сохраняйте важные даты и события"	Involve	14	500	15.40000057220459	0	ORIGINAL	#5D5D5D	1
242:727	"Только вы решаете, кто видит ваши данные"	Involve	14	500	15.40000057220459	0	ORIGINAL	#5D5D5D	1
I242:722;240:530	"Создать древо"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#FFFCF6	1
242:753	"О проекте"	Involve	20	500	22	0	ORIGINAL	#30302A	1
242:772	"Этот сервис создан как пространство, где люди объединяются, чтобы сохранять семейную память и делиться историей своих предков"	Involve	14	500	15.40000057220459	0	ORIGINAL	#576686	1
242:760	"Шаг 1"	Involve	20	500	26.600000381469727	0	ORIGINAL	#FFFCF6	1
242:758	"Зарегистрируйтесь и начните создавать свою историю"	Involve	14	500	15.40000057220459	0	ORIGINAL	#FFFCF6	1
242:761	"Шаг 1"	Involve	20	500	26.600000381469727	0	ORIGINAL	#FFFCF6	1
242:759	"Добавляйте родственников и объединяйте ваши семейные древа"	Involve	14	500	15.40000057220459	0	ORIGINAL	#FFFCF6	1
242:762	"Шаг 3"	Involve	20	500	26.600000381469727	0	ORIGINAL	#576686	1
242:763	"Вы получаете общую картину вашего семейного древа"	Involve	14	500	15.40000057220459	0	ORIGINAL	#576686	1
242:768	"Шаг 4"	Involve	20	500	26.600000381469727	0	ORIGINAL	#FFFCF6	1
242:769	"Добавляйте данные о своих усопших родственниках"	Involve	14	500	15.40000057220459	0	ORIGINAL	#FFFCF6	1
I242:723;240:530	"Создать древо"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#FFFCF6	1

## 561:5310 | меню древа | 320x560
561:5314	"Stammbaum"	Playfair Display	16	400	21.327999114990234	0	ORIGINAL	#FFFCF6	1
I561:5367;231:225	"RU"	Manrope	12	500	16.392000198364258	0	ORIGINAL	#FFFCF6	1
I561:5370;242:803	"Дерево 1"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#30302A	1
561:5315	"Создайте свое генеологическое древо вместе с Stammbaum"	Involve	20	500	22	0	ORIGINAL	#30302A	1
I561:5371;242:803	"Новое древо"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#30302A	1
I561:5372;242:803	"Важные даты"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#30302A	1
I561:5373;242:803	"Фотогалерея"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#30302A	1
561:5318	"Добавляйте в своё древо родных и близких"	Involve	14	500	15.40000057220459	0	ORIGINAL	#5D5D5D	1
I561:5374;242:803	"Пригласить родственников"	Manrope	14	500	15.40000057220459	0	ORIGINAL	#30302A	1
I561:5409;242:803	"Скачать файл для печати"	Manrope	14	500	15.40000057220459	0	ORIGINAL	#30302A	1
561:5319	"Делитесь историей своей семьи с друзьями"	Involve	14	500	15.40000057220459	0	ORIGINAL	#5D5D5D	1
561:5411	"Связаться с нами"	Manrope	14	500	15.40000057220459	0	ORIGINAL	#30302A	1
561:5320	"Сохраняйте важные даты и события"	Involve	14	500	15.40000057220459	0	ORIGINAL	#5D5D5D	1
561:5321	"Только вы решаете, кто видит ваши данные"	Involve	14	500	15.40000057220459	0	ORIGINAL	#5D5D5D	1
I561:5316;240:530	"Создать древо"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#FFFCF6	1
561:5347	"О проекте"	Involve	20	500	22	0	ORIGINAL	#30302A	1
561:5366	"Этот сервис создан как пространство, где люди объединяются, чтобы сохранять семейную память и делиться историей своих предков"	Involve	14	500	15.40000057220459	0	ORIGINAL	#576686	1
561:5354	"Шаг 1"	Involve	20	500	26.600000381469727	0	ORIGINAL	#FFFCF6	1
561:5352	"Зарегистрируйтесь и начните создавать свою историю"	Involve	14	500	15.40000057220459	0	ORIGINAL	#FFFCF6	1
561:5355	"Шаг 1"	Involve	20	500	26.600000381469727	0	ORIGINAL	#FFFCF6	1
561:5353	"Добавляйте родственников и объединяйте ваши семейные древа"	Involve	14	500	15.40000057220459	0	ORIGINAL	#FFFCF6	1
561:5356	"Шаг 3"	Involve	20	500	26.600000381469727	0	ORIGINAL	#576686	1
561:5357	"Вы получаете общую картину вашего семейного древа"	Involve	14	500	15.40000057220459	0	ORIGINAL	#576686	1
561:5362	"Шаг 4"	Involve	20	500	26.600000381469727	0	ORIGINAL	#FFFCF6	1
561:5363	"Добавляйте данные о своих усопших родственниках"	Involve	14	500	15.40000057220459	0	ORIGINAL	#FFFCF6	1
I561:5317;240:530	"Создать древо"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#FFFCF6	1

## 689:2335 | меню древа | 320x560
689:2339	"Stammbaum"	Playfair Display	16	400	21.327999114990234	0	ORIGINAL	#FFFCF6	1
I689:2392;231:225	"RU"	Manrope	12	500	16.392000198364258	0	ORIGINAL	#FFFCF6	1
I689:2395;242:803	"Дерево 1"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#30302A	1
689:2340	"Создайте свое генеологическое древо вместе с Stammbaum"	Involve	20	500	22	0	ORIGINAL	#30302A	1
I689:2396;242:803	"Новое древо"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#30302A	1
I689:2433;242:803	"Внешний вид древа"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#30302A	1
I689:2397;242:803	"Важные даты"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#30302A	1
689:2343	"Добавляйте в своё древо родных и близких"	Involve	14	500	15.40000057220459	0	ORIGINAL	#5D5D5D	1
I689:2398;242:803	"Фотогалерея"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#30302A	1
I689:2399;242:803	"Пригласить родственников"	Manrope	14	500	15.40000057220459	0	ORIGINAL	#30302A	1
689:2344	"Делитесь историей своей семьи с друзьями"	Involve	14	500	15.40000057220459	0	ORIGINAL	#5D5D5D	1
I689:2400;242:803	"Скачать файл для печати"	Manrope	14	500	15.40000057220459	0	ORIGINAL	#30302A	1
689:2345	"Сохраняйте важные даты и события"	Involve	14	500	15.40000057220459	0	ORIGINAL	#5D5D5D	1
689:2401	"Связаться с нами"	Manrope	14	500	15.40000057220459	0	ORIGINAL	#30302A	1
689:2346	"Только вы решаете, кто видит ваши данные"	Involve	14	500	15.40000057220459	0	ORIGINAL	#5D5D5D	1
I689:2341;240:530	"Создать древо"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#FFFCF6	1
689:2372	"О проекте"	Involve	20	500	22	0	ORIGINAL	#30302A	1
689:2391	"Этот сервис создан как пространство, где люди объединяются, чтобы сохранять семейную память и делиться историей своих предков"	Involve	14	500	15.40000057220459	0	ORIGINAL	#576686	1
689:2379	"Шаг 1"	Involve	20	500	26.600000381469727	0	ORIGINAL	#FFFCF6	1
689:2377	"Зарегистрируйтесь и начните создавать свою историю"	Involve	14	500	15.40000057220459	0	ORIGINAL	#FFFCF6	1
689:2380	"Шаг 1"	Involve	20	500	26.600000381469727	0	ORIGINAL	#FFFCF6	1
689:2378	"Добавляйте родственников и объединяйте ваши семейные древа"	Involve	14	500	15.40000057220459	0	ORIGINAL	#FFFCF6	1
689:2381	"Шаг 3"	Involve	20	500	26.600000381469727	0	ORIGINAL	#576686	1
689:2382	"Вы получаете общую картину вашего семейного древа"	Involve	14	500	15.40000057220459	0	ORIGINAL	#576686	1
689:2387	"Шаг 4"	Involve	20	500	26.600000381469727	0	ORIGINAL	#FFFCF6	1
689:2388	"Добавляйте данные о своих усопших родственниках"	Involve	14	500	15.40000057220459	0	ORIGINAL	#FFFCF6	1
I689:2342;240:530	"Создать древо"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#FFFCF6	1

## 243:1070 | ВХОД | 320x560
243:1074	"Stammbaum"	Playfair Display	16	400	21.327999114990234	0	ORIGINAL	#FFFCF6	1
I243:1127;231:225	"RU"	Manrope	12	500	16.392000198364258	0	ORIGINAL	#FFFCF6	1
243:1167	"Авторизация"	Manrope	16	500	21.856000900268555	0	ORIGINAL	#FFFCF6	1
I283:2496;280:1114	"Войти"	Manrope	12	500	16.392000198364258	0	ORIGINAL	#FFFCF6	1
243:1164	"Зарегистрироваться"	Manrope	12	500	16.392000198364258	0	ORIGINAL	#30302A	1
243:1170	"Имя пользователя"	Manrope	12	500	16.392000198364258	0	ORIGINAL	#5D5D5D	1
243:1171	"Пароль"	Manrope	12	500	16.392000198364258	0	ORIGINAL	#5D5D5D	1
I243:1173;243:990	"Забыли пароль?"	Manrope	10	400	13.660000801086426	0	ORIGINAL	#5D5D5D	1
I243:1179;240:530	"Войти в профиль"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#FFFCF6	1
I243:1076;240:530	"Создать древо"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#FFFCF6	1
243:1107	"О проекте"	Involve	20	500	22	0	ORIGINAL	#30302A	1
243:1126	"Этот сервис создан как пространство, где люди объединяются, чтобы сохранять семейную память и делиться историей своих предков"	Involve	14	500	15.40000057220459	0	ORIGINAL	#576686	1
243:1114	"Шаг 1"	Involve	20	500	26.600000381469727	0	ORIGINAL	#FFFCF6	1
243:1112	"Зарегистрируйтесь и начните создавать свою историю"	Involve	14	500	15.40000057220459	0	ORIGINAL	#FFFCF6	1
243:1115	"Шаг 1"	Involve	20	500	26.600000381469727	0	ORIGINAL	#FFFCF6	1
243:1113	"Добавляйте родственников и объединяйте ваши семейные древа"	Involve	14	500	15.40000057220459	0	ORIGINAL	#FFFCF6	1
243:1116	"Шаг 3"	Involve	20	500	26.600000381469727	0	ORIGINAL	#576686	1
243:1117	"Вы получаете общую картину вашего семейного древа"	Involve	14	500	15.40000057220459	0	ORIGINAL	#576686	1
243:1122	"Шаг 4"	Involve	20	500	26.600000381469727	0	ORIGINAL	#FFFCF6	1
243:1123	"Добавляйте данные о своих усопших родственниках"	Involve	14	500	15.40000057220459	0	ORIGINAL	#FFFCF6	1
I243:1077;240:530	"Создать древо"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#FFFCF6	1

## 243:1181 | РЕГИСТРАЦИЯ | 320x560
243:1185	"Stammbaum"	Playfair Display	16	400	21.327999114990234	0	ORIGINAL	#FFFCF6	1
I243:1208;231:225	"RU"	Manrope	12	500	16.392000198364258	0	ORIGINAL	#FFFCF6	1
243:1212	"Авторизация"	Manrope	16	500	21.856000900268555	0	ORIGINAL	#FFFCF6	1
243:1214	"Войти"	Manrope	12	500	13.200000762939453	0	ORIGINAL	#30302A	1
I283:2498;280:1114	"Зарегистрироваться"	Manrope	12	500	16.392000198364258	0	ORIGINAL	#FFFCF6	1
243:1217	"Имя пользователя*"	Manrope	12	500	16.392000198364258	0	ORIGINAL	#5D5D5D	1
243:1219	"E-mail*"	Manrope	12	500	16.392000198364258	0	ORIGINAL	#5D5D5D	1
243:1270	"Пароль*"	Manrope	12	500	16.392000198364258	0	ORIGINAL	#5D5D5D	1
243:1272	"Введите пароль еще раз*"	Manrope	12	500	16.392000198364258	0	ORIGINAL	#5D5D5D	1
I243:1273;243:990	"Я ознакомился и согласен с политикой обработки персональных данных"	Manrope	10	400	13.660000801086426	0	ORIGINAL	#5D5D5D	1
I243:1221;240:530	"Зарегистрироваться"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#FFFCF6	1
I243:1186;240:530	"Создать древо"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#FFFCF6	1
243:1188	"О проекте"	Involve	20	500	22	0	ORIGINAL	#30302A	1
243:1207	"Этот сервис создан как пространство, где люди объединяются, чтобы сохранять семейную память и делиться историей своих предков"	Involve	14	500	15.40000057220459	0	ORIGINAL	#576686	1
243:1195	"Шаг 1"	Involve	20	500	26.600000381469727	0	ORIGINAL	#FFFCF6	1
243:1193	"Зарегистрируйтесь и начните создавать свою историю"	Involve	14	500	15.40000057220459	0	ORIGINAL	#FFFCF6	1
243:1196	"Шаг 1"	Involve	20	500	26.600000381469727	0	ORIGINAL	#FFFCF6	1
243:1194	"Добавляйте родственников и объединяйте ваши семейные древа"	Involve	14	500	15.40000057220459	0	ORIGINAL	#FFFCF6	1
243:1197	"Шаг 3"	Involve	20	500	26.600000381469727	0	ORIGINAL	#576686	1
243:1198	"Вы получаете общую картину вашего семейного древа"	Involve	14	500	15.40000057220459	0	ORIGINAL	#576686	1
243:1203	"Шаг 4"	Involve	20	500	26.600000381469727	0	ORIGINAL	#FFFCF6	1
243:1204	"Добавляйте данные о своих усопших родственниках"	Involve	14	500	15.40000057220459	0	ORIGINAL	#FFFCF6	1
I243:1187;240:530	"Создать древо"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#FFFCF6	1

## 250:356 | Семейное древо | 320x560
250:360	"Stammbaum"	Playfair Display	16	400	21.327999114990234	0	ORIGINAL	#FFFCF6	1
I250:383;231:225	"RU"	Manrope	12	500	16.392000198364258	0	ORIGINAL	#FFFCF6	1
252:439	"Добавьте информацию о себе"	Manrope	14	500	15.40000057220459	0	ORIGINAL	#30302A	1
I252:440;240:530	"Добавить информацию"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#FFFCF6	1

## 297:839 | Семейное древо | 320x560
297:843	"Stammbaum"	Playfair Display	16	400	21.327999114990234	0	ORIGINAL	#FFFCF6	1
I297:844;231:225	"RU"	Manrope	12	500	16.392000198364258	0	ORIGINAL	#FFFCF6	1
297:854	"Добавьте информацию об усопших родственниках"	Manrope	14	400	15.40000057220459	0	ORIGINAL	#FFFCF6	1
I297:855;240:530	"Добавить информацию"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#FFFCF6	1

## 689:2435 | Семейное древо | 320x1171
689:2441	"Stammbaum"	Playfair Display	16	400	21.327999114990234	0	ORIGINAL	#FFFCF6	1
I689:2442;231:225	"RU"	Manrope	12	500	16.392000198364258	0	ORIGINAL	#FFFCF6	1

## 561:5865 | Семейное древо | 320x560
561:5870	"Stammbaum"	Playfair Display	16	400	21.327999114990234	0	ORIGINAL	#FFFCF6	1
I561:5871;231:225	"RU"	Manrope	12	500	16.392000198364258	0	ORIGINAL	#FFFCF6	1
561:5914	"1800"	Manrope	12	500	13.200000762939453	0	ORIGINAL	#5A5A5A	1
561:5924	"Прадедушка"	Manrope	8	600	10.928000450134277	0	ORIGINAL	#FFFCF6	1
561:5917	"1850"	Manrope	12	500	13.200000762939453	0	ORIGINAL	#5A5A5A	1
561:5926	"Спиридонова Полина"	Manrope	8	400	10.928000450134277	0	ORIGINAL	#FFFCF6	1
561:5925	"14.08.2002"	Manrope	5	500	6.830000400543213	0	ORIGINAL	#FFFCF6	1
561:5918	"1900"	Manrope	12	500	13.200000762939453	0	ORIGINAL	#5A5A5A	1

## 271:336 | Семейное древо | 320x560
271:340	"Stammbaum"	Playfair Display	16	400	21.327999114990234	0	ORIGINAL	#FFFCF6	1
I271:341;231:225	"RU"	Manrope	12	500	16.392000198364258	0	ORIGINAL	#FFFCF6	1
271:403	"Я"	Manrope	8	600	10.928000450134277	0	ORIGINAL	#30302A	1
